ParName   Value   Gradient
MGparm[1]     0.158704    0.0503405
MGparm[2]      15.6515  -0.00672796
MGparm[3]      53.1167   -0.0270053
MGparm[4]     0.141731   -0.0148382
MGparm[5]     0.186051  -0.00562477
MGparm[6]    0.0351949  -0.00329562
MGparm[13]     0.164428    0.0269492
MGparm[14]      16.1562  -0.00402624
MGparm[15]      40.8281   -0.0144478
MGparm[16]     0.238148  -0.00721574
MGparm[17]     0.136371  -0.00232572
MGparm[18]    0.0597473  -0.00263268
SR_parm[1]      9.92138    -0.237513
SR_parm[2]     0.841493  -0.00747043
recdev_early(1845)  1.94064e-07   6.6195e-08
recdev_early(1846)   2.2766e-07  9.11991e-08
recdev_early(1847)   2.6352e-07 -1.48697e-08
recdev_early(1848)  3.11448e-07  9.62891e-08
recdev_early(1849)  3.63083e-07   5.3629e-08
recdev_early(1850)  4.20272e-07 -1.19889e-07
recdev_early(1851)  4.95381e-07  4.07099e-09
recdev_early(1852)  5.76002e-07  -1.2801e-07
recdev_early(1853)  6.73192e-07 -1.58369e-07
recdev_early(1854)  7.87185e-07 -1.65668e-07
recdev_early(1855)  9.19947e-07 -1.73525e-07
recdev_early(1856)  1.07607e-06 -1.16906e-07
recdev_early(1857)  1.25601e-06 -1.09014e-07
recdev_early(1858)  1.46407e-06 -1.29635e-07
recdev_early(1859)  1.70636e-06  -1.0789e-07
recdev_early(1860)  1.98596e-06 -1.12077e-07
recdev_early(1861)  2.30604e-06 -2.30752e-07
recdev_early(1862)  2.68141e-06 -1.17583e-07
recdev_early(1863)  3.10519e-06 -3.03212e-07
recdev_early(1864)  3.59611e-06 -3.38372e-07
recdev_early(1865)  4.15824e-06 -3.75319e-07
recdev_early(1866)   4.7992e-06 -4.52895e-07
recdev_early(1867)   5.5294e-06 -5.21146e-07
recdev_early(1868)  6.35756e-06 -5.99208e-07
recdev_early(1869)  7.28903e-06 -8.11272e-07
recdev_early(1870)  8.33796e-06 -9.25607e-07
recdev_early(1871)  9.51955e-06 -8.45635e-07
recdev_early(1872)  1.08453e-05 -1.02144e-06
recdev_early(1873)  1.23508e-05 -1.20201e-06
recdev_early(1874)  1.40634e-05 -1.37239e-06
recdev_early(1875)  1.60097e-05 -1.58485e-06
recdev_early(1876)  1.82211e-05 -1.84799e-06
recdev_early(1877)  2.07391e-05 -1.95227e-06
recdev_early(1878)  2.35948e-05 -2.29771e-06
recdev_early(1879)  2.68407e-05  -2.6524e-06
recdev_early(1880)  3.05289e-05 -3.02719e-06
recdev_early(1881)  3.47201e-05 -3.36375e-06
recdev_early(1882)  3.94783e-05 -3.78817e-06
