"Year","WinterN","SummerN","WinterS","SummerS","Total Catch","Total Dead"
1876,"0.00","0.00","0.00","1.00","1.00","1.02"
1877,"0.00","0.00","0.00","1.00","1.00","1.02"
1878,"0.00","0.00","0.00","1.00","1.00","1.02"
1879,"0.00","0.00","0.00","1.00","1.00","1.02"
1880,"0.00","0.00","0.00","11.55","11.55","11.76"
1881,"0.00","0.00","0.00","22.10","22.10","22.50"
1882,"0.00","0.00","0.00","32.65","32.65","33.24"
1883,"0.00","0.00","0.00","43.20","43.20","43.98"
1884,"0.00","0.00","0.00","53.75","53.75","54.73"
1885,"0.00","0.00","0.00","64.30","64.30","65.47"
1886,"0.00","0.00","0.00","74.85","74.85","76.21"
1887,"0.00","0.00","0.00","85.40","85.40","86.96"
1888,"0.00","0.00","0.00","95.95","95.95","97.70"
1889,"0.00","0.00","0.00","106.50","106.50","108.44"
1890,"0.00","0.00","0.00","117.05","117.05","119.19"
1891,"0.00","0.00","0.00","127.60","127.60","129.94"
1892,"0.00","0.00","0.00","138.15","138.15","140.68"
1893,"0.00","0.00","0.00","148.71","148.71","151.44"
1894,"0.00","0.00","0.00","159.26","159.26","162.19"
1895,"0.00","0.00","0.00","169.81","169.81","172.94"
1896,"0.00","0.24","0.00","180.36","180.60","183.93"
1897,"0.00","0.20","0.00","190.91","191.11","194.63"
1898,"0.00","0.15","0.00","201.46","201.61","205.34"
1899,"0.00","0.15","0.00","212.01","212.16","216.09"
1900,"0.00","0.15","0.00","222.56","222.71","226.83"
1901,"0.00","0.14","0.00","233.11","233.25","237.58"
1902,"0.00","0.14","0.00","243.66","243.80","248.33"
1903,"0.00","0.13","0.00","254.21","254.34","259.08"
1904,"0.00","0.13","0.00","264.76","264.89","269.83"
1905,"0.00","0.13","0.00","275.31","275.44","280.58"
1906,"0.00","0.12","0.00","285.86","285.98","291.33"
1907,"0.00","0.12","0.00","296.41","296.53","302.09"
1908,"0.00","0.11","0.00","306.96","307.07","312.84"
1909,"0.00","0.11","0.00","317.51","317.62","323.59"
1910,"0.00","0.10","0.00","328.06","328.16","334.35"
1911,"0.00","0.10","0.00","338.61","338.71","345.10"
1912,"0.00","0.10","0.00","349.16","349.26","355.86"
1913,"0.00","0.09","0.00","359.71","359.80","366.62"
1914,"0.00","0.09","0.00","370.26","370.35","377.38"
1915,"0.00","0.08","0.00","380.81","380.89","388.14"
1916,"0.00","0.08","0.00","386.42","386.50","393.86"
1917,"0.00","0.08","0.00","526.41","526.49","536.54"
1918,"0.00","0.07","0.00","423.85","423.92","432.04"
1919,"0.00","0.07","0.00","333.44","333.51","339.91"
1920,"0.00","0.06","0.00","230.49","230.55","234.98"
1921,"0.00","0.06","0.00","293.76","293.82","299.46"
1922,"0.00","0.05","0.00","424.78","424.83","432.99"
1923,"0.00","0.05","0.00","427.36","427.41","435.62"
1924,"0.00","0.05","0.00","532.86","532.91","543.16"
1925,"0.00","0.04","0.00","528.47","528.51","538.72"
1926,"0.00","0.04","0.00","521.67","521.71","531.81"
1927,"0.00","0.04","0.00","632.04","632.08","644.36"
1928,"0.00","0.00","0.00","620.09","620.09","632.20"
1929,"0.00","1.54","0.00","706.04","707.58","721.44"
1930,"0.00","1.22","0.00","658.83","660.05","673.05"
1931,"0.00","81.45","63.39","530.88","675.72","688.31"
1932,"1.99","250.88","36.40","519.91","809.18","822.46"
1933,"5.96","408.43","38.57","392.08","845.04","857.25"
1934,"9.93","567.86","139.41","896.36","1,613.56","1,639.75"
1935,"13.90","649.96","155.38","777.21","1,596.45","1,621.70"
1936,"15.88","769.79","95.49","431.51","1,312.66","1,330.76"
1937,"19.75","1,051.41","74.53","741.05","1,886.73","1,913.82"
1938,"27.49","1,186.87","47.86","890.00","2,152.22","2,183.85"
1939,"35.22","1,544.54","30.84","1,028.96","2,639.56","2,678.32"
1940,"39.09","1,736.58","161.81","596.70","2,534.17","2,569.36"
1941,"41.40","1,802.66","110.81","331.17","2,286.04","2,315.31"
1942,"46.00","2,919.25","24.37","215.56","3,205.17","3,242.07"
1943,"50.61","2,867.30","71.66","344.72","3,334.29","3,376.96"
1944,"55.21","2,046.97","85.53","446.91","2,634.62","2,672.32"
1945,"59.82","1,866.05","101.75","439.34","2,466.97","2,502.92"
1946,"64.43","2,492.36","71.91","1,115.57","3,744.27","3,804.95"
1947,"69.03","1,777.99","153.68","1,092.65","3,093.35","3,148.23"
1948,"73.64","2,314.74","272.66","1,778.02","4,439.06","4,525.14"
1949,"75.94","1,808.64","616.96","1,812.18","4,313.72","4,411.51"
1950,"156.21","2,322.24","424.24","1,638.09","4,540.78","4,642.88"
1951,"117.97","1,665.61","208.45","992.79","2,984.82","3,054.01"
1952,"131.01","1,390.43","326.31","881.70","2,729.45","2,796.94"
1953,"46.07","737.10","533.36","981.17","2,297.70","2,366.55"
1954,"26.56","903.36","800.58","1,073.40","2,803.90","2,888.35"
1955,"57.14","862.59","525.58","1,051.75","2,497.06","2,570.11"
1956,"137.25","759.22","508.30","800.73","2,205.49","2,266.62"
1957,"170.95","1,103.29","527.21","1,027.18","2,828.63","2,903.98"
1958,"99.18","1,152.19","567.97","957.29","2,776.63","2,850.98"
1959,"332.10","946.78","379.04","723.17","2,381.10","2,435.33"
1960,"240.87","1,374.20","519.64","643.74","2,778.44","2,839.70"
1961,"216.66","1,546.63","542.06","1,028.73","3,334.07","3,412.56"
1962,"294.86","1,511.89","514.91","859.37","3,181.03","3,257.45"
1963,"663.29","1,038.41","534.03","977.64","3,213.38","3,299.23"
1964,"282.32","1,090.04","377.62","926.80","2,676.78","2,764.96"
1965,"370.45","950.39","373.69","852.88","2,547.42","2,627.36"
1966,"366.06","971.69","324.88","924.63","2,587.26","2,660.63"
1967,"408.62","793.42","532.27","874.08","2,608.40","2,681.92"
1968,"284.40","810.62","360.61","870.76","2,326.39","2,397.85"
1969,"190.34","887.30","421.00","848.00","2,346.64","2,431.57"
1970,"411.71","1,081.31","472.00","1,071.00","3,036.02","3,152.60"
1971,"742.62","882.61","540.00","1,016.00","3,181.23","3,288.01"
1972,"730.42","1,016.88","703.00","1,000.00","3,450.30","3,554.86"
1973,"497.47","1,271.83","417.00","742.00","2,928.30","3,132.32"
1974,"516.99","1,610.53","665.00","893.00","3,685.52","3,948.85"
1975,"538.95","1,559.16","561.00","901.00","3,560.11","3,807.82"
1976,"505.73","951.12","713.00","737.00","2,906.85","3,121.97"
1977,"682.08","742.77","484.00","495.00","2,403.86","2,560.70"
1978,"746.25","1,097.75","419.00","801.00","3,064.00","3,302.49"
1979,"734.31","1,085.56","353.00","945.00","3,117.87","3,422.59"
1980,"382.50","976.23","518.00","680.00","2,556.73","2,854.85"
1981,"760.67","467.92","359.66","895.22","2,483.47","2,765.30"
1982,"1,041.18","770.69","261.53","502.07","2,575.47","2,770.14"
1983,"696.32","935.35","272.60","361.12","2,265.39","2,453.84"
1984,"415.77","739.01","259.83","328.99","1,743.61","1,910.93"
1985,"392.13","552.90","273.27","471.13","1,689.43","1,871.35"
1986,"474.12","714.45","402.91","355.06","1,946.54","2,133.47"
1987,"854.51","572.68","311.09","556.08","2,294.37","2,563.23"
1988,"742.90","610.44","349.11","411.04","2,113.49","2,360.00"
1989,"696.00","583.02","392.61","414.74","2,086.36","2,303.56"
1990,"640.66","459.82","319.43","372.68","1,792.59","1,961.06"
1991,"792.59","397.34","448.01","310.12","1,948.06","2,133.07"
1992,"639.53","365.98","271.71","307.26","1,584.48","1,807.43"
1993,"685.39","392.08","237.09","233.99","1,548.55","1,680.97"
1994,"518.13","355.43","245.85","299.40","1,418.82","1,543.56"
1995,"591.37","453.93","235.56","287.43","1,568.29","1,674.12"
1996,"591.04","439.75","405.93","393.94","1,830.65","1,928.80"
1997,"621.06","430.04","447.64","442.28","1,941.02","2,050.81"
1998,"522.15","577.36","220.74","300.46","1,620.70","1,738.53"
1999,"463.35","504.25","286.80","267.04","1,521.45","1,620.67"
2000,"610.16","585.54","372.22","241.46","1,809.38","1,914.53"
2001,"691.42","596.99","308.34","260.29","1,857.04","1,979.99"
2002,"666.98","713.86","335.16","195.16","1,911.15","2,066.86"
2003,"544.49","713.30","256.21","179.84","1,693.83","1,795.40"
2004,"1,009.92","749.51","177.48","271.05","2,207.96","2,294.34"
2005,"963.69","1,068.77","342.67","533.42","2,908.55","3,014.79"
2006,"537.45","1,011.63","125.28","453.54","2,127.90","2,215.29"
2007,"930.39","536.07","404.36","474.87","2,345.68","2,404.36"
2008,"842.47","353.81","519.45","414.03","2,129.76","2,179.81"
2009,"846.72","641.99","469.66","250.38","2,208.75","2,329.18"
2010,"263.74","292.35","77.60","120.96","754.65","867.34"
2011,"223.69","426.74","39.59","77.71","767.72","791.41"
2012,"409.74","493.50","124.46","107.78","1,135.49","1,159.35"
