"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"1876",9313.64,7920.74,6736.15,5728.73,4871.98,4143.35,3523.7,2996.72,2548.55,2167.4,1843.26,1567.6,1333.16,1133.78,964.221,820.019,697.383,593.088,504.39,428.957,364.806,310.248,263.85,224.391,190.832,162.293,138.022,117.38,99.8258,84.8967,72.2002,61.4025,52.2196,44.41,37.7684,32.1201,27.3165,23.2312,19.7569,16.8023,95.5482
"1877",9313.67,7920.77,6736.17,5728.75,4871.98,4143.35,3523.68,2996.68,2548.51,2167.36,1843.22,1567.56,1333.13,1133.76,964.199,820,697.367,593.074,504.378,428.947,364.797,310.241,263.844,224.385,190.828,162.289,138.018,117.378,99.8235,84.8946,72.1985,61.401,52.2184,44.409,37.7675,32.1193,27.3158,23.2307,19.7565,16.8019,95.5459
"1878",9313.7,7920.79,6736.2,5728.76,4871.99,4143.35,3523.67,2996.67,2548.48,2167.33,1843.19,1567.53,1333.1,1133.73,964.177,819.981,697.351,593.06,504.367,428.937,364.789,310.234,263.838,224.38,190.823,162.285,138.015,117.375,99.8211,84.8926,72.1968,61.3996,52.2171,44.4079,37.7666,32.1186,27.3152,23.2301,19.756,16.8015,95.5437
"1879",9313.74,7920.82,6736.22,5728.78,4872.01,4143.36,3523.68,2996.66,2548.47,2167.31,1843.16,1567.5,1333.07,1133.7,964.155,819.962,697.335,593.047,504.355,428.927,364.78,310.226,263.831,224.375,190.819,162.282,138.012,117.372,99.8187,84.8906,72.195,61.3981,52.2159,44.4069,37.7657,32.1178,27.3145,23.2296,19.7555,16.8011,95.5414
"1880",9313.79,7920.85,6736.24,5728.8,4872.03,4143.37,3523.68,2996.66,2548.46,2167.29,1843.14,1567.48,1333.04,1133.68,964.133,819.944,697.319,593.033,504.343,428.917,364.772,310.219,263.825,224.369,190.814,162.278,138.009,117.369,99.8164,84.8886,72.1933,61.3967,52.2147,44.4058,37.7648,32.117,27.3139,23.229,19.7551,16.8007,95.5391
"1881",9313.75,7920.89,6736.27,5728.81,4871.97,4143.22,3523.4,2996.27,2548.01,2166.83,1842.69,1567.07,1332.69,1133.37,963.871,819.72,697.128,592.87,504.205,428.8,364.672,310.134,263.753,224.308,190.762,162.233,137.971,117.337,99.789,84.8653,72.1735,61.3798,52.2003,44.3936,37.7545,32.1082,27.3064,23.2226,19.7496,16.796,95.5129
"1882",9313.62,7920.86,6736.3,5728.82,4871.91,4143.01,3522.98,2995.64,2547.22,2165.98,1841.86,1566.31,1332.02,1132.79,963.369,819.291,696.763,592.559,503.94,428.575,364.48,309.971,263.614,224.19,190.662,162.148,137.898,117.275,99.7365,84.8207,72.1356,61.3475,52.1729,44.3703,37.7346,32.0913,27.292,23.2104,19.7393,16.7872,95.4627
"1883",9313.41,7920.75,6736.27,5728.83,4871.85,4142.78,3522.5,2994.88,2546.22,2164.84,1840.71,1565.21,1331.03,1131.93,962.63,818.659,696.223,592.1,503.549,428.242,364.197,309.731,263.41,224.016,190.514,162.022,137.791,117.184,99.6591,84.7548,72.0796,61.2999,52.1324,44.3358,37.7053,32.0664,27.2708,23.1924,19.7239,16.7742,95.3885
"1884",9313.14,7920.57,6736.18,5728.79,4871.79,4142.56,3522.02,2994.08,2545.12,2163.53,1839.31,1563.85,1329.77,1130.81,961.658,817.824,695.51,591.492,503.032,427.802,363.823,309.412,263.139,223.786,190.318,161.855,137.65,117.064,99.5566,84.6677,72.0054,61.2369,52.0787,44.2903,37.6665,32.0334,27.2428,23.1685,19.7036,16.7569,95.2904
"1885",9312.8,7920.34,6736.03,5728.69,4871.69,4142.35,3521.54,2993.27,2543.98,2162.13,1837.76,1562.27,1328.27,1129.45,960.463,816.792,694.626,590.738,502.389,427.255,363.357,309.016,262.802,223.499,190.074,161.648,137.473,116.914,99.4291,84.5592,71.9132,61.1584,52.012,44.2335,37.6183,31.9924,27.2079,23.1389,19.6784,16.7355,95.1684
"1886",9312.41,7920.05,6735.83,5728.55,4871.54,4142.09,3521.06,2992.46,2542.83,2160.69,1836.13,1560.56,1326.6,1127.9,959.067,815.571,693.574,589.837,501.621,426.601,362.801,308.543,262.399,223.157,189.783,161.4,137.263,116.735,99.2766,84.4296,71.8029,61.0646,51.9323,44.1657,37.5606,31.9433,27.1661,23.1034,19.6482,16.7098,95.0224
"1887",9311.98,7919.72,6735.58,5728.36,4871.35,4141.79,3520.54,2991.65,2541.68,2159.25,1834.47,1558.8,1324.82,1126.19,957.502,814.179,692.361,588.794,500.729,425.84,362.153,307.992,261.93,222.758,189.444,161.112,137.017,116.526,99.0993,84.2787,71.6746,60.9555,51.8395,44.0868,37.4935,31.8863,27.1176,23.0621,19.6131,16.6799,94.8526
"1888",9311.52,7919.36,6735.3,5728.14,4871.13,4141.46,3519.99,2990.8,2540.53,2157.81,1832.81,1557,1322.98,1124.39,955.81,812.643,691.003,587.615,499.716,424.975,361.415,307.364,261.396,222.303,189.057,160.783,136.738,116.288,98.897,84.1067,71.5283,60.8311,51.7337,43.9968,37.417,31.8212,27.0622,23.015,19.5731,16.6459,94.6589
"1889",9311.02,7918.96,6734.99,5727.89,4870.87,4141.09,3519.41,2989.93,2539.36,2156.36,1831.14,1555.2,1321.12,1122.54,954.038,810.999,689.523,586.312,498.588,424.007,360.589,306.659,260.796,221.793,188.623,160.414,136.424,116.021,98.6699,83.9135,71.3641,60.6914,51.6148,43.8957,37.331,31.7481,27.0001,22.9622,19.5281,16.6076,94.4415
"1890",9310.51,7918.54,6734.65,5727.6,4870.58,4140.7,3518.8,2989.03,2538.15,2154.89,1829.48,1553.39,1319.25,1120.68,952.226,809.288,687.952,584.906,497.355,422.941,359.675,305.879,260.132,221.227,188.142,160.005,136.075,115.725,98.418,83.6993,71.1819,60.5365,51.4831,43.7837,37.2357,31.667,26.9311,22.9035,19.4783,16.5652,94.2004
"1891",9309.98,7918.1,6734.29,5727.3,4870.27,4140.29,3518.17,2988.11,2536.92,2153.39,1827.78,1551.58,1317.38,1118.8,950.397,807.542,686.323,583.423,496.034,421.786,358.678,305.025,259.403,220.607,187.614,159.555,135.693,115.4,98.1415,83.4642,70.9819,60.3664,51.3384,43.6606,37.1311,31.578,26.8555,22.8392,19.4235,16.5187,93.9357
"1892",9309.44,7917.65,6733.91,5726.98,4869.95,4139.85,3517.51,2987.16,2535.67,2151.87,1826.07,1549.76,1315.51,1116.93,948.564,805.783,684.665,581.891,494.648,420.557,357.606,304.101,258.612,219.932,187.039,159.066,135.277,115.046,97.8404,83.2081,70.7641,60.1811,51.1809,43.5267,37.0172,31.4811,26.7731,22.7691,19.3639,16.468,93.6474
"1893",9308.91,7917.2,6733.53,5726.64,4869.6,4139.4,3516.84,2986.19,2534.39,2150.33,1824.34,1547.91,1313.62,1115.05,946.729,804.02,682.996,580.334,493.221,419.273,356.471,303.113,257.761,219.204,186.418,158.537,134.827,114.663,97.5149,82.9313,70.5287,59.9809,51.0106,43.3818,36.894,31.3764,26.684,22.6933,19.2995,16.4132,93.3358
"1894",9308.39,7916.75,6733.14,5726.3,4869.25,4138.93,3516.15,2985.21,2533.1,2148.77,1822.58,1546.04,1311.71,1113.16,944.89,802.254,681.323,578.768,491.773,417.954,355.29,302.073,256.857,218.426,185.753,157.97,134.344,114.252,97.1651,82.6338,70.2756,59.7657,50.8276,43.2262,36.7616,31.2638,26.5882,22.6119,19.2302,16.3543,93.0009
"1895",9307.89,7916.3,6732.76,5725.96,4868.89,4138.45,3515.45,2984.21,2531.79,2147.2,1820.81,1544.16,1309.79,1111.25,943.038,800.486,679.649,577.199,490.317,416.617,354.079,300.992,255.908,217.603,185.045,157.365,133.828,113.813,96.7913,82.3157,70.0052,59.5357,50.6319,43.0598,36.6201,31.1435,26.4859,22.5249,19.1562,16.2914,92.6429
"1896",9307.41,7915.87,6732.38,5725.61,4868.53,4137.97,3514.74,2983.2,2530.47,2145.61,1819.03,1542.26,1307.85,1109.33,941.174,798.707,677.972,575.629,488.859,415.275,352.854,299.888,254.926,216.741,184.299,156.724,133.28,113.346,96.3937,81.9774,69.7174,59.2909,50.4238,42.8828,36.4695,31.0154,26.377,22.4322,19.0774,16.2244,92.2619
