"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"1876",9313.64,7822.98,6570.9,5519.22,4635.87,3893.9,3270.68,2747.21,2307.52,1938.2,1627.99,1367.43,1148.58,964.749,810.342,680.648,571.711,480.209,403.352,338.796,284.572,239.027,200.771,168.638,141.648,118.977,99.9351,83.9406,70.506,59.2217,49.7433,41.782,35.0948,29.478,24.7601,20.7972,17.4687,14.6728,12.3245,10.352,54.3283
"1877",9313.67,7823.01,6570.92,5519.24,4635.87,3893.88,3270.64,2747.16,2307.47,1938.16,1627.96,1367.4,1148.55,964.727,810.323,680.632,571.697,480.198,403.343,338.788,284.566,239.021,200.766,168.634,141.644,118.974,99.9327,83.9386,70.5044,59.2202,49.7421,41.781,35.094,29.4773,24.7595,20.7968,17.4683,14.6725,12.3242,10.3517,54.327
"1878",9313.7,7823.03,6570.95,5519.26,4635.89,3893.88,3270.62,2747.12,2307.43,1938.12,1627.92,1367.37,1148.53,964.705,810.305,680.616,571.684,480.187,403.333,338.78,284.559,239.016,200.762,168.63,141.641,118.972,99.9303,83.9366,70.5027,59.2188,49.741,41.78,35.0932,29.4766,24.7589,20.7963,17.4678,14.6721,12.3239,10.3515,54.3257
"1879",9313.74,7823.06,6570.97,5519.28,4635.9,3893.89,3270.62,2747.11,2307.4,1938.08,1627.89,1367.34,1148.5,964.683,810.286,680.6,571.671,480.176,403.324,338.772,284.552,239.01,200.757,168.626,141.638,118.969,99.928,83.9346,70.501,59.2174,49.7398,41.779,35.0923,29.4759,24.7583,20.7958,17.4674,14.6718,12.3236,10.3512,54.3244
"1880",9313.79,7823.09,6570.99,5519.29,4635.92,3893.9,3270.63,2747.11,2307.38,1938.05,1627.86,1367.31,1148.47,964.661,810.268,680.585,571.658,480.165,403.315,338.765,284.546,239.005,200.752,168.622,141.634,118.966,99.9256,83.9327,70.4994,59.216,49.7386,41.778,35.0915,29.4752,24.7577,20.7953,17.467,14.6715,12.3233,10.351,54.3231
"1881",9313.75,7823.13,6571.02,5519.31,4635.86,3893.61,3270.11,2746.52,2306.83,1937.56,1627.43,1366.94,1148.16,964.398,810.046,680.399,571.501,480.033,403.204,338.672,284.468,238.939,200.697,168.576,141.595,118.933,99.8982,83.9096,70.48,59.1998,49.7249,41.7665,35.0819,29.4671,24.7509,20.7896,17.4622,14.6674,12.3199,10.3481,54.3082
"1882",9313.62,7823.1,6571.05,5519.33,4635.8,3893.26,3269.34,2745.49,2305.78,1936.62,1626.61,1366.24,1147.56,963.893,809.622,680.042,571.201,479.781,402.993,338.494,284.318,238.814,200.592,168.487,141.521,118.871,99.8457,83.8655,70.443,59.1687,49.6988,41.7446,35.0634,29.4516,24.7379,20.7786,17.453,14.6597,12.3134,10.3427,54.2796
"1883",9313.41,7822.99,6571.02,5519.36,4635.75,3892.91,3268.52,2744.25,2304.36,1935.26,1625.41,1365.21,1146.69,963.149,808.995,679.515,570.758,479.409,402.68,338.231,284.098,238.628,200.436,168.356,141.411,118.778,99.7682,83.8004,70.3883,59.1227,49.6602,41.7122,35.0362,29.4287,24.7187,20.7625,17.4395,14.6483,12.3039,10.3347,54.2374
"1884",9313.14,7822.81,6570.93,5519.33,4635.7,3892.56,3267.69,2742.96,2302.77,1933.59,1623.86,1363.86,1145.53,962.17,808.167,678.817,570.172,478.916,402.266,337.884,283.806,238.383,200.23,168.183,141.266,118.656,99.6656,83.7142,70.3159,59.0619,49.6091,41.6693,35.0002,29.3984,24.6933,20.7411,17.4216,14.6333,12.2912,10.324,54.1817
"1885",9312.8,7822.58,6570.79,5519.25,4635.6,3892.21,3266.87,2741.67,2301.13,1931.76,1622.04,1362.22,1144.11,960.959,807.141,677.951,569.443,478.304,401.751,337.451,283.442,238.078,199.974,167.968,141.085,118.504,99.538,83.607,70.2258,58.9863,49.5456,41.6159,34.9553,29.3608,24.6616,20.7146,17.3992,14.6145,12.2755,10.3108,54.1123
"1886",9312.41,7822.3,6570.59,5519.12,4635.46,3891.82,3266.04,2740.38,2299.49,1929.91,1620.11,1360.35,1142.44,959.523,805.921,676.919,568.573,477.571,401.136,336.934,283.008,237.713,199.667,167.711,140.869,118.323,99.3853,83.4788,70.1182,58.8958,49.4696,41.5521,34.9017,29.3158,24.6238,20.6828,17.3726,14.5921,12.2567,10.295,54.0293
"1887",9311.98,7821.98,6570.36,5518.96,4635.28,3891.39,3265.19,2739.09,2297.85,1928.05,1618.14,1358.38,1140.59,957.88,804.512,675.725,567.563,476.72,400.42,336.332,282.503,237.288,199.31,167.411,140.617,118.111,99.2078,83.3297,69.9929,58.7906,49.3812,41.4778,34.8394,29.2634,24.5798,20.6459,17.3415,14.566,12.2348,10.2766,53.9327
