"Years","WinterN","SummerN","WinterS","SummerS","Total Catch","Total Dead"
2007,"930.39","536.07","404.36","474.87","2,345.68","2,404.36"
2008,"842.47","353.81","519.45","414.03","2,129.76","2,179.81"
2009,"846.72","641.99","469.66","250.38","2,208.75","2,329.18"
2010,"263.74","292.35","77.60","120.96","754.65","867.34"
2011,"223.69","426.74","39.59","77.71","767.72","791.41"
2012,"409.74","493.50","124.46","107.78","1,135.49","1,159.35"
2013,"512.96","1,013.30","130.10","279.58","1,935.94","1,972.54"
2014,"852.91","860.30","273.39","386.05","2,372.65","2,397.77"
2015,"1,039.95","1,076.66","215.38","354.03","2,686.02","2,726.88"
2016,"864.54","1,168.07","237.49","235.49","2,505.59","2,542.80"
2017,"1,142.29","1,270.92","201.09","393.38","3,007.68","3,049.96"
2018,"957.29","1,262.43","218.03","402.23","2,839.98","2,882.12"
