"","Estimate","95% Asymptotic Interval"
"Unfished Spawning Biomass (mt)","30,555","24,635–36,475"
"Unfished Age 3+ Biomass (mt)","48,800","40,928–56,672"
"Spawning Biomass (2019)","9,867","7,682–12,052"
"Unfished Recruitment (R0)","18,627","11,147–26,106"
"Depletion (2019)","32.29","21.95–42.64"
"Reference Points Based SB40%","",""
"Proxy Spawning Biomass (SB40%)","7,639","6,159–9,119"
"SPR resulting in SB40%","0.286","0.258–0.313"
"Exploitation Rate Resulting in SB40%","0.182","0.163–0.200"
"Yield with SPR Based On SB40% (mt)","2,830","2,624–3,036"
"Reference Points based on SPR proxy for MSY","",""
"Proxy spawning biomass (SPR50)","8,096","6,199–9,993"
"SPR50","0.300"," NA "
"Exploitation rate corresponding to SPR50","0.173","0.145–0.200"
"Yield with SPR50 at SBSPR (mt)","2,820","2,590–3,050"
"Reference points based on estimated MSY values","",""
"Spawning biomass at MSY (SBMSY)","7,006","5,242–8,770"
"SPRMSY","0.266","0.201–0.331"
"Exploitation rate corresponding to SPRMSY","0.195","0.164–0.225"
"MSY (mt)","2,836","2,642–3,030"
