Year,Trips,Fish,Sample Size
1966,1,238,7
1967,5,1020,35
1968,3,912,21
1969,4,1213,28
1970,13,1830,92
1971,22,4698,155
1972,23,4561,162
1973,17,4134,120
1974,20,4806,141
1975,19,3637,134
1976,21,3677,148
1977,32,4846,226
1978,52,7715,367
1979,34,3414,240
1980,55,5425,388
1981,40,3921,282
1982,48,4824,339
1983,39,3944,275
1984,31,3102,219
1985,45,4508,318
1986,40,4002,282
1987,43,3053,304
1988,9,601,64
1989,16,798,113
1990,12,599,85
1991,8,216,38
1994,43,2608,304
1995,49,3161,346
1996,64,3085,452
1997,76,3570,537
1998,56,3450,395
1999,58,2812,409
2000,49,2004,326
2001,59,1696,293
2002,50,1666,280
2003,67,1661,296
2004,53,1202,219
2005,51,1277,227
2006,59,1486,264
2007,81,2248,391
2008,101,3058,523
2009,107,3207,550
2010,134,2872,530
2011,100,1943,368
2012,97,1873,355
2013,117,2167,416
2014,140,2850,533
2015,110,2504,456
2016,131,2158,429
