"","Winter_N_NTows","Winter_N_Nfish","Summer_N_NTows","Summer_N_Nfish","Winter_S_NTows","Winter_S_Nfish","Summer_S_NTows","Summer_S_Nfish"
"1960",0,0,1,168,0,0,0,0
"1966",0,0,2,340,19,441,27,649
"1967",0,0,3,482,2,50,11,273
"1968",0,0,3,663,4,64,56,1340
"1969",1,100,2,192,12,293,31,765
"1970",1,116,4,499,5,126,29,709
"1971",2,318,5,785,12,294,37,930
"1972",2,349,13,1984,21,512,38,962
"1973",2,393,4,684,16,425,37,951
"1974",3,295,20,2032,27,642,34,837
"1975",8,765,10,1012,7,175,18,473
"1976",1,99,4,400,10,250,23,575
"1977",2,197,19,1853,10,241,33,822
"1978",3,308,2,387,6,150,32,799
"1979",4,350,21,2214,4,99,11,270
"1980",2,177,16,1568,12,300,50,1243
"1981",2,195,0,0,10,250,27,677
"1982",0,0,0,0,7,175,18,352
"1983",0,0,0,0,9,276,8,191
"1984",0,0,0,0,2,49,3,74
"1985",0,0,0,0,2,50,4,100
"1986",0,0,0,0,11,261,16,376
"1987",6,173,16,573,5,117,12,291
"1988",10,379,8,256,5,123,6,149
"1989",3,144,12,507,0,0,0,0
"1990",5,160,11,272,10,294,1,38
"1991",10,201,7,151,8,245,0,0
"1992",8,313,11,424,0,0,0,0
"1993",8,234,8,296,0,0,0,0
"1994",6,256,9,371,0,0,0,0
"1995",6,228,2,66,0,0,0,0
"1996",2,67,4,165,0,0,0,0
"1997",8,283,10,375,0,0,0,0
"1998",5,201,22,999,0,0,0,0
"1999",6,256,13,608,0,0,0,0
"2000",6,258,12,560,0,0,0,0
"2001",5,250,11,498,0,0,0,0
"2002",8,346,20,834,0,0,0,0
"2003",20,665,26,1071,2,41,5,55
"2004",7,313,24,1059,2,57,4,96
"2005",6,294,18,874,3,55,10,217
"2006",4,197,14,697,2,51,7,154
"2007",14,536,24,1018,4,78,5,97
"2008",11,337,26,1079,7,97,18,300
"2009",28,400,39,684,0,0,3,78
"2010",19,353,34,542,0,0,0,0
"2011",24,326,42,845,8,185,8,26
"2012",31,385,40,835,4,118,1,34
"2013",48,723,46,831,1,39,3,100
"2014",29,678,24,616,0,0,0,0
"2015",56,584,48,811,0,0,0,0
"2016",2,95,0,0,0,0,0,0
"2017",5,246,7,339,0,0,0,0
"2018",5,249,23,494,0,0,0,0
