"","Winter_N_NTows","Winter_N_Nfish","Summer_N_NTows","Summer_N_Nfish","Winter_S_NTows","Winter_S_Nfish","Summer_S_NTows","Summer_S_Nfish"
"1948",0,0,0,0,4,202,4,203
"1949",0,0,0,0,6,275,4,183
"1955",1,507,0,0,0,0,0,0
"1956",0,0,1,534,0,0,0,0
"1960",0,0,1,644,0,0,0,0
"1962",0,0,0,0,0,0,3,150
"1964",0,0,0,0,2,73,22,897
"1965",0,0,0,0,1,25,14,583
"1966",0,0,2,463,20,852,33,1396
"1967",0,0,3,485,12,481,44,1815
"1968",0,0,7,1842,13,499,87,3414
"1969",1,328,4,992,19,705,49,1907
"1970",1,237,5,1309,6,226,29,920
"1971",3,721,6,1481,12,519,37,1180
"1972",2,516,14,3255,21,747,39,1435
"1973",2,440,4,829,18,752,40,1460
"1974",3,768,25,7196,28,974,35,1133
"1975",9,1978,12,3509,8,325,19,873
"1976",1,379,4,1054,10,475,26,1255
"1977",2,321,21,2410,16,739,38,1816
"1978",3,678,2,570,9,448,33,1649
"1979",6,618,23,2438,5,247,13,601
"1980",4,573,22,2287,20,999,81,4042
"1981",4,400,0,0,31,1522,65,3134
"1982",0,0,0,0,30,1496,34,1434
"1983",0,0,0,0,17,851,33,1600
"1984",0,0,0,0,13,627,19,943
"1985",0,0,0,0,8,400,17,825
"1986",0,0,0,0,22,1100,32,1602
"1987",6,300,16,805,12,600,29,1450
"1988",10,499,8,401,10,500,12,532
"1989",3,151,13,652,16,783,18,900
"1990",5,251,11,552,10,428,2,76
"1991",10,356,7,277,22,754,2,82
"1992",8,313,11,428,6,176,0,0
"1993",8,236,8,296,0,0,0,0
"1994",6,258,9,371,1,1,0,0
"1995",6,230,2,66,0,0,0,0
"1996",2,67,4,168,0,0,0,0
"1997",8,284,11,417,0,0,0,0
"1998",5,201,22,1004,0,0,0,0
"1999",11,413,15,703,0,0,0,0
"2000",17,638,24,1012,0,0,0,0
"2001",12,468,18,786,10,305,9,289
"2002",13,551,31,1259,7,209,10,252
"2003",28,872,35,1370,10,254,30,475
"2004",22,720,30,1328,10,228,15,431
"2005",18,628,35,1493,9,169,36,966
"2006",26,1106,51,2639,37,1040,47,1059
"2007",42,1680,46,2402,58,1656,103,2971
"2008",65,2059,36,2127,66,2023,97,2442
"2009",32,1220,66,2860,34,749,62,1597
"2010",49,1614,59,1795,29,655,52,1356
"2011",26,855,47,2019,33,1170,23,400
"2012",32,1059,44,1954,28,1099,40,1125
"2013",55,2145,52,2300,40,1753,43,1930
"2014",59,2158,64,2421,35,1292,49,1672
"2015",61,1929,60,2386,34,1062,62,2026
"2016",31,1045,39,1071,34,1311,70,2306
"2017",57,1816,74,2790,33,1289,85,2489
"2018",50,1386,93,2654,19,823,77,2663
"2019",5,225,6,158,0,0,0,0
