"Years","WA.TRAWL.1","WA.TRAWL.2","OR.TRAWL.1","OR.TRAWL.2","CA.TRAWL.1","CA.TRAWL.2"
1876,0,0,0,0,0,1
1877,0,0,0,0,0,1
1878,0,0,0,0,0,1
1879,0,0,0,0,0,1
1880,0,0,0,0,0,11.55
1881,0,0,0,0,0,22.1
1882,0,0,0,0,0,32.65
1883,0,0,0,0,0,43.2
1884,0,0,0,0,0,53.75
1885,0,0,0,0,0,64.3
1886,0,0,0,0,0,74.85
1887,0,0,0,0,0,85.4
1888,0,0,0,0,0,95.95
1889,0,0,0,0,0,106.5
1890,0,0,0,0,0,117.05
1891,0,0,0,0,0,127.6
1892,0,0,0,0,0,138.15
1893,0,0,0,0,0,148.71
1894,0,0,0,0,0,159.26
1895,0,0,0,0,0,169.81
1896,0,0,0,0.241593626,0,180.36
1897,0,0,0,0.197907933,0,190.91
1898,0,0,0,0.154222239,0,201.46
1899,0,0,0,0.150024113,0,212.01
1900,0,0,0,0.145874947,0,222.56
1901,0,0,0,0.141725783,0,233.11
1902,0,0,0,0.137576618,0,243.66
1903,0,0,0,0.133378491,0,254.21
1904,0,0,0,0.129229326,0,264.76
1905,0,0,0,0.12508016,0,275.31
1906,0,0,0,0.120882034,0,285.86
1907,0,0,0,0.116732868,0,296.41
1908,0,0,0,0.112583704,0,306.96
1909,0,0,0,0.108385577,0,317.51
1910,0,0,0,0.104236412,0,328.06
1911,0,0,0,0.100087247,0,338.61
1912,0,0,0,0.095938081,0,349.16
1913,0,0,0,0.091739955,0,359.71
1914,0,0,0,0.08759079,0,370.26
1915,0,0,0,0.083441625,0,380.81
1916,0,0,0,0.079243498,0,386.42
1917,0,0,0,0.075094333,0,526.41
1918,0,0,0,0.070945168,0,423.85
1919,0,0,0,0.066796002,0,333.44
1920,0,0,0,0.062597876,0,230.49
1921,0,0,0,0.058448711,0,293.76
1922,0,0,0,0.054299546,0,424.78
1923,0,0,0,0.050101419,0,427.36
1924,0,0,0,0.045952254,0,532.86
1925,0,0,0,0.041803088,0,528.47
1926,0,0,0,0.037604963,0,521.67
1927,0,0,0,0.035104664,0,632.04
1928,0,0,0,0.000494722,0,620.09
1929,0,0,0,1.542492146,0,706.04
1930,0,0,0,1.22460293,0,658.83
1931,0,80.59,0,0.861065184,63.39323784,530.8792445
1932,1.99,241.77,0,9.107543276,36.39584146,519.9122751
1933,5.96,402.95,0,5.481247593,38.56582994,392.0802678
1934,9.93,564.13,0,3.724519476,139.4076984,896.3626385
1935,13.9,644.72,0,5.237289998,155.3827871,777.2060491
1936,15.88,752.33,0,17.45584444,95.49174007,431.5061099
1937,19.75,967.53,0,83.87798216,74.52531502,741.046076
1938,27.49,1182.73,0,4.137780189,47.86,890
1939,35.22,1290.33,0,254.2075507,30.83932832,1028.962361
1940,39.09,1280.5,0,456.080856,161.8065698,596.6955757
1941,41.4,1260.83,0,541.8271831,110.8100262,331.1663688
1942,46,1241.16,0,1678.094263,24.36791828,215.5559688
1943,50.61,1221.48,0,1645.824662,71.65860783,344.7165498
1944,55.21,1201.81,0,845.1572881,85.5299326,446.9133003
1945,59.82,1182.14,0,683.9073851,101.7531366,439.3428346
1946,64.43,1162.46,0,1329.895214,71.91216627,1115.568669
1947,69.03,1142.79,0,635.1967292,153.6799993,1092.654516
1948,73.64,1123.12,0,1191.624202,272.6619553,1778.01798
1949,75.94,1113.27,0,695.3748257,616.9584781,1812.179423
1950,156.21,957.31,0,1364.927285,424.2381907,1638.086836
1951,117.97,774.51,0,891.1049926,208.4499823,992.7937694
1952,131.01,743.76,0,646.6707071,326.3088423,881.6993405
1953,46.07,354.35,0,382.7531113,533.3603977,981.1668224
1954,26.56,418.07,0,485.2934795,800.5796917,1073.402673
1955,57.14,398.57,0,464.0217756,525.5785578,1051.745426
1956,120.46,356.24,16.79071567,402.977176,508.2957607,800.729831
1957,106.45,361.57,64.49709549,741.7165982,527.2119458,1027.183369
1958,29.12,443.81,70.05985354,708.3829636,567.9718047,957.2883309
1959,73.98,678.12,258.122949,268.6585795,379.0426468,723.1695258
1960,123.3,587.4,117.5679912,786.8011719,519.638305,643.7372427
1961,133.94,802.19,82.71588847,744.4429963,542.0562274,1028.727853
1962,156.57,497.8,138.2849817,1014.089866,514.9123205,859.3694151
1963,118.57,535.59,544.7237393,502.8219132,534.0321688,977.6387768
1964,103.21,455.02,179.1085316,635.0211573,377.6197258,926.7978155
1965,127.72,434.58,242.7345594,515.8109387,373.6907041,852.8816758
1966,91.56,414.37,274.5030247,557.3243229,324.8777567,924.6255591
1967,60.01,312,348.6153926,481.4212565,532.2754035,874.0789796
1968,137.39,222.56,147.0143365,588.0573459,360.6099917,870.7568651
1969,52.02,161.12,138.3197775,726.1788318,421,848
1970,143.76,356.86,267.9456473,724.4456391,472,1071
1971,152.49,418.93,590.1339307,463.6766598,540,1016
1972,186.61,553.63,543.8127648,463.2479107,703,1000
