"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"1876",9472.11,8096.91,6921.38,5916.51,5057.53,4323.26,3695.6,3159.06,2700.42,2308.37,1973.23,1686.75,1441.87,1232.53,1053.59,900.628,769.873,658.101,562.557,480.883,411.068,351.388,300.373,256.764,219.486,187.621,160.382,137.097,117.193,100.179,85.6346,73.202,62.5744,53.4897,45.7239,39.0857,33.4111,28.5604,24.414,20.8695,122.878
"1877",9472.12,8096.93,6921.39,5916.51,5057.49,4323.2,3695.53,3159,2700.37,2308.32,1973.2,1686.72,1441.84,1232.51,1053.57,900.611,769.858,658.088,562.546,480.874,411.06,351.381,300.367,256.759,219.482,187.617,160.379,137.094,117.191,100.177,85.6329,73.2006,62.5731,53.4886,45.723,39.0849,33.4105,28.5599,24.4135,20.8691,122.875
"1878",9472.14,8096.94,6921.4,5916.52,5057.49,4323.16,3695.48,3158.95,2700.32,2308.28,1973.16,1686.69,1441.81,1232.49,1053.55,900.594,769.843,658.076,562.535,480.865,411.052,351.374,300.361,256.754,219.478,187.614,160.375,137.092,117.189,100.175,85.6312,73.1991,62.5719,53.4876,45.7222,39.0841,33.4098,28.5593,24.413,20.8687,122.873
"1879",9472.15,8096.95,6921.41,5916.53,5057.5,4323.16,3695.45,3158.9,2700.27,2308.24,1973.12,1686.66,1441.78,1232.46,1053.53,900.576,769.828,658.063,562.524,480.855,411.044,351.367,300.355,256.749,219.474,187.61,160.372,137.089,117.186,100.173,85.6296,73.1977,62.5707,53.4866,45.7213,39.0834,33.4091,28.5587,24.4125,20.8683,122.87
"1880",9472.18,8096.97,6921.42,5916.54,5057.51,4323.17,3695.44,3158.87,2700.23,2308.19,1973.08,1686.63,1441.76,1232.44,1053.51,900.559,769.814,658.05,562.513,480.846,411.036,351.361,300.349,256.744,219.469,187.606,160.369,137.086,117.184,100.171,85.6279,73.1963,62.5695,53.4855,45.7204,39.0826,33.4085,28.5582,24.412,20.8679,122.868
"1881",9472.13,8096.99,6921.43,5916.46,5057.01,4322.41,3694.71,3158.22,2699.65,2307.68,1972.64,1686.25,1441.43,1232.16,1053.27,900.355,769.64,657.901,562.386,480.737,410.943,351.281,300.281,256.686,219.42,187.564,160.333,137.055,117.157,100.148,85.6085,73.1797,62.5553,53.4734,45.71,39.0737,33.4009,28.5517,24.4065,20.8631,122.84
"1882",9472.01,8096.94,6921.45,5916.38,5056.45,4321.23,3693.32,3156.94,2698.53,2306.71,1971.79,1685.52,1440.81,1231.63,1052.82,899.966,769.306,657.617,562.142,480.529,410.765,351.129,300.151,256.575,219.325,187.483,160.263,136.996,117.107,100.105,85.5714,73.148,62.5282,53.4502,45.6902,39.0568,33.3865,28.5393,24.3959,20.8541,122.787
"1883",9471.83,8096.84,6921.41,5916.31,5055.88,4319.98,3691.56,3155.1,2696.88,2305.28,1970.55,1684.44,1439.89,1230.84,1052.14,899.39,768.814,657.196,561.782,480.221,410.502,350.904,299.959,256.41,219.184,187.362,160.161,136.908,117.032,100.041,85.5166,73.1011,62.4881,53.416,45.6609,39.0318,33.3651,28.5211,24.3803,20.8407,122.708
"1884",9471.59,8096.69,6921.33,5916.19,5055.31,4318.73,3689.75,3152.95,2694.75,2303.39,1968.92,1683.03,1438.67,1229.8,1051.25,898.628,768.162,656.639,561.306,479.814,410.154,350.607,299.705,256.193,218.998,187.204,160.025,136.792,116.932,99.9559,85.4441,73.0391,62.4352,53.3707,45.6222,38.9987,33.3368,28.4969,24.3596,20.8231,122.604
"1885",9471.3,8096.49,6921.19,5916.03,5054.71,4317.48,3687.94,3150.75,2692.35,2301.09,1966.9,1681.29,1437.17,1228.5,1050.14,897.68,767.352,655.946,560.714,479.308,409.721,350.237,299.388,255.922,218.767,187.006,159.856,136.648,116.809,99.8504,85.3539,72.962,62.3692,53.3143,45.574,38.9575,33.3016,28.4668,24.3339,20.8011,122.475
"1886",9470.96,8096.24,6921.02,5915.82,5054.06,4316.2,3686.12,3148.54,2689.91,2298.56,1964.52,1679.21,1435.38,1226.96,1048.82,896.546,766.382,655.117,560.005,478.702,409.203,349.794,299.01,255.599,218.491,186.77,159.654,136.475,116.661,99.7241,85.246,72.8698,62.2904,53.2469,45.5164,38.9083,33.2595,28.4308,24.3031,20.7748,122.32
"1887",9470.58,8095.95,6920.81,5915.59,5053.39,4314.88,3684.27,3146.34,2687.47,2296,1961.96,1676.84,1433.31,1225.18,1047.29,895.229,765.254,654.152,559.181,477.997,408.6,349.279,298.57,255.223,218.169,186.494,159.419,136.274,116.489,99.5772,85.1204,72.7624,62.1986,53.1685,45.4494,38.8509,33.2105,28.3889,24.2673,20.7442,122.14
"1888",9470.16,8095.62,6920.56,5915.31,5052.68,4313.53,3682.4,3144.1,2685.02,2293.43,1959.36,1674.29,1430.98,1223.15,1045.55,893.732,763.97,653.052,558.24,477.193,407.913,348.691,298.067,254.793,217.802,186.181,159.151,136.045,116.293,99.4097,84.9772,72.64,62.094,53.079,45.3729,38.7856,33.1546,28.3411,24.2265,20.7093,121.934
"1889",9469.71,8095.27,6920.28,5915.01,5051.94,4312.15,3680.49,3141.84,2682.55,2290.86,1956.75,1671.72,1428.51,1220.91,1043.59,892.059,762.532,651.819,557.184,476.29,407.141,348.031,297.503,254.311,217.389,185.828,158.849,135.787,116.073,99.2215,84.8163,72.5025,61.9764,52.9785,45.287,38.7121,33.0918,28.2875,24.1807,20.6701,121.703
"1890",9469.24,8094.88,6919.97,5914.69,5051.17,4310.75,3678.56,3139.55,2680.06,2288.27,1954.15,1669.15,1426.01,1218.54,1041.46,890.206,760.944,650.455,556.014,475.289,406.285,347.299,296.877,253.776,216.932,185.437,158.515,135.502,115.829,99.0128,84.6379,72.35,61.846,52.8671,45.1917,38.6307,33.0222,28.228,24.1298,20.6266,121.447
"1891",9468.74,8094.47,6919.65,5914.33,5050.38,4309.31,3676.6,3137.24,2677.54,2285.65,1951.52,1666.57,1423.51,1216.16,1039.22,888.197,759.202,648.962,554.733,474.19,405.345,346.495,296.19,253.189,216.43,185.008,158.148,135.188,115.561,98.7835,84.4419,72.1824,61.7028,52.7447,45.0871,38.5412,32.9457,28.1626,24.0739,20.5788,121.166
"1892",9468.23,8094.05,6919.3,5913.96,5049.56,4307.85,3674.61,3134.9,2674.99,2283.02,1948.88,1663.98,1421.01,1213.77,1036.96,886.099,757.327,647.339,553.342,472.997,404.322,345.62,295.442,252.549,215.883,184.54,157.748,134.846,115.269,98.5338,84.2285,72,61.5469,52.6113,44.9731,38.4438,32.8625,28.0914,24.013,20.5268,120.86
"1893",9467.7,8093.61,6918.93,5913.57,5048.73,4306.37,3672.6,3132.54,2672.43,2280.36,1946.22,1661.37,1418.5,1211.38,1034.71,883.986,755.376,645.602,551.84,471.71,403.218,344.674,294.632,251.857,215.291,184.035,157.316,134.477,114.953,98.2637,83.9976,71.8026,61.3781,52.4671,44.8498,38.3384,32.7724,28.0144,23.9472,20.4705,120.528
