Date,Area,Regulation
11/10/1983, Columbia ," Closed Columbia area to Pacific ocean perch fishing until the end of the year, as 950 mt OY for this species has been reached; "
11/10/1983, Vancouver ," retained 5,000-pound trip limit or 10\% of total trip weight on landings of Pacific ocean perch in the Vancouver area. "
1/1/1984, ALL ," Continued 5,000-pound trip limit or 10\% of total trip weight on Pacific ocean perch as specified in FMP. Fishery to close when area OYs are reached (see action effective November 10, 1983 above). "
8/1/1984, Vancouver Columbia ," Reduced trip limit for Pacific ocean perch in the Vancouver and Columbia areas to 20\% by weight of all fish on board, not to exceed 5,000 pounds per vessel per trip."
8/16/1984, Columbia , Commercial fishing for Pacific ocean perch in the Columbia area closed for remainder of the year.
1/10/1985, Vancouver Columbia ," Established Vancouver and Columbia areas Pacific ocean perch trip limit of 20\% by weight of all fish on board (no 5,000-pound limit as specified in last half of 1984)."
4/28/1985, Vancouver Columbia ," Reduced the Vancouver and Columbia areas Pacific ocean perch trip limit to 5,000 pounds or 20\% by weight of all fish on board, whichever is less. "
4/28/1985, ALL ," Landings of Pacific ocean perch less than 1,000 pounds will be unrestricted. The fishery for this species will close when the OY in each area is reached."
6/10/1985, ALL ,"  Landings of Pacific ocean perch up to 1,000 pounds per trip will be unrestricted regardless of the percentage of these fish on board. "
1/1/1986, Cape Blanco North ," Established the Pacific ocean perch trip limit north of Cape Blanco (4250) at 20\% (by weight) of all fish on board or 10,000 pounds whichever is less; "
1/1/1986, ALL ," landings of Pacific ocean perch unrestricted if less than 1,000 pounds regardless of percentage on board; Vancouver area OY = 600 mt; Columbia area OY =950 mt. "
12/1/1986, Vancouver ," OY quota for Pacific ocean perch reached in the Vancouver area; fishery closed until January 1, 1987. "
1/1/1987, ALL ," Established coastwide Pacific ocean perch limit at 20\% of all legal fish on board or 5,000 pounds whichever is less (in round weight); landings of Pacific ocean perch unrestricted if less than 1,000 pounds regardless of percentage on board; Vancouver area OY =500 mt; Columbia area OY = 800 mt. "
