"","Base Model","Low M","High M","Old M Prior","Fecundity","Sex Ratio","Sex Ratio & Fecundity","Francis Weighting","Dirichlet Weighting"
"Total Likelihood",1397.46,1399,1398.97,1397.72,1408.49,1396.34,1407.38,1397.46,3105.29
"Survey Likelihood",-75.0712,-74.5255,-74.9481,-75.0301,-75.0848,-75.1008,-75.1124,-75.0687,-75.3245
"Discard Likelihood",-228.29,-228.443,-228.065,-228.323,-228.291,-227.963,-227.962,-228.288,-228.851
"Discard Mean Body Wt.",-160.927,-161.025,-160.824,-160.933,-160.926,-160.858,-160.858,-160.936,-161.713
"Length Likelihood",785.852,787.217,785.387,786.289,785.863,785.938,785.957,785.843,899.19
"Age Likelihood",1096.58,1095.44,1097.6,1096.29,1096.6,1094.78,1094.78,1096.58,2691.14
"Recruitment Likelihood",-27.7966,-27.6177,-27.2757,-27.5772,-27.8344,-27.8192,-27.8791,-27.7953,-24.8387
"Forecast Recruitment Likelihood",0.043357,0.0412752,0.0443777,0.0435976,0.0434861,0.0435976,0.0427317,0.0433465,0.0935248
"Parameter Priors Likelihood",7.03831,7.88293,7.01546,6.92641,18.0815,7.28536,18.364,7.04189,5.45822
"log(R0)",9.84924,9.5402,10.1696,9.86183,9.85625,9.88961,9.89379,9.84836,10.0159
"SB Virgin",34749.5,38940.3,31565.7,34717,35578.9,36771.8,37802.6,34781.3,32652
"SB 2019",13114.1,12386.1,13979.3,13107.4,12141.3,13340.3,12371.1,13128.7,14719.9
"Depletion 2019",0.377391,0.318079,0.442863,0.377551,0.341251,0.362785,0.327256,0.377464,0.450813
"Total Yield - SPR 30",3120.31,3010.28,3257.73,3130.85,3077.19,3156.07,3075.86,3145.64,3095.03
"Steepness",0.862234,0.91616,0.802683,0.852578,0.884973,0.872556,0.894645,0.862216,0.806099
"Natural Mortality - Female",0.151334,0.125,0.18,0.152245,0.152107,0.143048,0.143633,0.151349,0.164533
"Length at Amin - Female",15.4987,15.6104,15.3745,15.5245,15.4946,15.5057,15.5013,15.4982,15.4158
"Length at Amax - Female",53.1287,52.9998,53.2616,53.1421,53.1272,52.9628,52.9613,53.1285,52.4556
"Von Bert. k - Female",0.142492,0.144038,0.140867,0.14208,0.142516,0.14502,0.145053,0.1425,0.148497
"SD young - Female",0.188679,0.187032,0.190059,0.188369,0.188693,0.187038,0.187051,0.188681,0.194362
"SD old - Female",0.0344042,0.0352961,0.0336736,0.0344252,0.0344212,0.0355161,0.035533,0.0344043,0.0364677
"Natural Mortality - Male",0.156867,0.128451,0.188102,0.158009,0.157686,0.172919,0.173492,0.156866,0.176127
"Length at Amin - Male",16.2205,16.2457,16.1888,16.2198,16.2206,16.2123,16.2122,16.2205,15.8714
"Length at Amax - Male",40.8739,40.797,40.9492,40.8808,40.8757,41.0324,41.0331,40.8737,40.8289
"Von Bert. k - Male",0.233833,0.236802,0.230847,0.233603,0.23375,0.229008,0.228968,0.233835,0.236737
"SD young - Male",0.135122,0.134938,0.135274,0.135116,0.135111,0.136086,0.136074,0.135121,0.162163
"SD old - Male",0.059173,0.0592555,0.0591175,0.0591421,0.0591774,0.0584994,0.058506,0.0591751,0.053662
