"","Base Model","Harmonic Weights","Steepness = 0.40","Steepness = 0.72","Old Maturity","Old Fecundity","2008 Recruitment"
"Total Likelihood",1639.13,2441.72,1639.95,1638.25,1639.14,1639.13,1877.74
"Survey Likelihood",-13.5135,-13.8696,-13.676,-13.4207,-13.5155,-13.5094,-12.8631
"Discard Likelihood",-34.5742,-17.1019,-34.4246,-34.744,-34.5785,-34.5783,56.9292
"Length Likelihood",143.504,742.387,143.129,143.932,143.501,143.516,191.232
"Age Likelihood",1531.08,1711,1531.41,1530.68,1531.1,1531.07,1636.83
"Recruitment Likelihood",11.6182,18.2731,11.6226,11.6613,11.6202,11.6156,4.59454
"Forecast Recruitment Likelihood",1.67508e-05,0.000402405,2.12631e-05,1.24243e-05,1.75244e-05,1.67509e-05,1.67071e-05
"Parameter Priors Likelihood",1.00036,1.00036,1.86962,0.125004,1.00036,1.00036,1.00036
"Parameter Deviation Likelihood",0,0,0,0,0,0,0
"log(R0)",9.4018,9.2699,9.3406,9.45029,9.4013,9.40334,9.39226
"SB Virgin",6889.17,6155.29,6475.99,7239.7,6758.2,8213.08,6908.24
"SB 2017",5280.38,3723.45,3585.22,7002.32,5280.67,6473.35,4074.95
"Depletion 2017",0.766475,0.604919,0.553618,0.967212,0.781373,0.788176,0.589867
"Total Yield - SPR 50",1822.49,1620.14,1028.65,2560.05,1818.76,1844.75,1823.38
"Steepness",0.5,0.5,0.4,0.72,0.5,0.5,0.5
"Natural Mortality - Female",0.054,0.054,0.054,0.054,0.054,0.054,0.054
"Length at Amin - Female",20.7538,20.6486,20.753,20.7556,20.7531,20.7538,20.3732
"Length at Amax - Female",41.6011,41.7261,41.5955,41.6108,41.6013,41.6012,41.7274
"Von Bert. k - Female",0.166779,0.168863,0.166705,0.16681,0.166793,0.166781,0.174529
"SD young - Female",1.34872,1.33604,1.34906,1.34826,1.34872,1.3487,1.39698
"SD old - Female",2.56049,2.77192,2.5624,2.55793,2.56051,2.56044,2.51643
"Natural Mortality - Male",0.054,0.054,0.054,0.054,0.054,0.054,0.054
"Length at Amin - Male",20.7538,20.6486,20.753,20.7556,20.7531,20.7538,20.3732
"Length at Amax - Male",38.9252760378209,38.9333781287308,38.9171562592472,38.9378057544117,38.9255565948465,38.9254007460299,39.0869044901547
"Von Bert. k - Male",0.197512442571367,0.201184567959275,0.197524135770628,0.197457118681278,0.197525269425938,0.197513823552687,0.204305805292061
"SD young - Male",1.34872,1.33604,1.34906,1.34826,1.34872,1.3487,1.39698
"SD old - Male",2.280365293147,2.58734465709084,2.28129056318509,2.27921329564178,2.28032837655375,2.28032760425821,2.20342998519911
