Year,Landings,Total_Dead
1940,12,12
1941,18,18
1942,32,32
1943,114,114
1944,200,200
1945,303,303
1946,239,239
1947,203,203
1948,217,217
1949,570,570
1950,830,830
1951,1012,1012
1952,2338,2338
1953,1708,1708
1954,2465,2465
1955,1899,1899
1956,3085,3085
1957,2638,2638
1958,2064,2064
1959,1314,1314
1960,2238,2238
1961,3167,3167
1962,4200,4200
1963,5576,5576
1964,5927,5927
1965,7491,7491
1966,18769,18769
1967,14463,14463
1968,9125,9125
1969,1948,1948
1970,2344,2344
1971,2084,2084
1972,2030,2030
1973,2862,2862
1974,2466,2466
1975,1400,1400
1976,1784,1784
1977,1711,1711
1978,2337,2337
1979,1892,1892
1980,2120,2120
1981,1395,1395
1982,1086,1086
1983,1631,1631
1984,1648,1648
1985,1485,1485
1986,1433,1433
1987,1120,1120
1988,1409,1409
1989,1440,1440
1990,1091,1091
1991,1428,1428
1992,1394,1394
1993,1258,1258
1994,1047,1047
1995,845,845
1996,780,780
1997,639,639
1998,636,636
1999,509,509
2000,133,133
2001,264,264
2002,150,150
2003,134,134
2004,122,122
2005,64,64
2006,72,72
2007,132,132
2008,86,86
2009,95,95
2010,91,91
