Year,WA,OR,CA,Hake,Survey
1940,20,20,20,20,20
1941,20,20,20,20,20
1942,20,20,20,20,20
1943,20,20,20,20,20
1944,20,20,20,20,20
1945,20,20,20,20,20
1946,20,20,20,20,20
1947,20,20,20,20,20
1948,20,20,20,20,20
1949,20,20,20,20,20
1950,20,20,20,20,20
1951,20,20,20,20,20
1952,20,20,20,20,20
1953,20,20,20,20,20
1954,20,20,20,20,20
1955,20,20,20,20,20
1956,20,20,20,20,20
1957,20,20,20,20,20
1958,20,20,20,20,20
1959,20,20,20,20,20
1960,20,20,20,20,20
1961,20,20,20,20,20
1962,20,20,20,20,20
1963,20,20,20,20,20
1964,20,20,20,20,20
1965,20,20,20,20,20
1966,20,20,20,20,20
1967,20,20,20,20,20
1968,20,20,20,20,20
1969,20,20,20,20,20
1970,20,20,20,20,20
1971,20,20,20,20,20
1972,20,20,20,20,20
1973,20,20,20,20,20
1974,20,20,20,20,20
1975,20,20,20,20,20
1976,20,20,20,20,20
1977,20,20,20,20,20
1978,20,20,20,20,20
1979,20,20,20,20,20
1980,20,20,20,20,20
1981,20,20,20,20,20
1982,20,20,20,20,20
1983,20,20,20,20,20
1984,20,20,20,20,20
1985,20,20,20,20,20
1986,20,20,20,20,20
1987,20,20,20,20,20
1988,20,20,20,20,20
1989,20,20,20,20,20
1990,20,20,20,20,20
1991,20,20,20,20,20
1992,20,20,20,20,20
1993,20,20,20,20,20
1994,20,20,20,20,20
1995,20,20,20,20,20
1996,20,20,20,20,20
1997,20,20,20,20,20
1998,20,20,20,20,20
1999,20,20,20,20,20
2000,20,20,20,20,20
2001,0.4772,193.3707,51.8325,21.0024373,2.836402
2002,0.7846,107.0548,39.5101,3.8505183,0.295562
2003,0.159,94.5579,30.2087,6.27951,3.55237
2004,2.0887,97.6863,22.2757,1.0617203,2.533376
2005,0.0976,51.2123,10.4276,1.6966076,1.25414
2006,0.2351,52.2276,15.7797,3.1363072,1.2164
2007,0.1537,83.6482,45.1145,4.0474894,0.5766
2008,0.3888,58.6409,16.6119,15.9305677,0.795342
2009,0.9169,58.7451,33.2167,1.5595984,2.70355
2010,0.141,57.9987,22.2876,16.8732683,1.61584
