"","name","area","Depth_m.1","Depth_m.2","Latitude_dd.1","Latitude_dd.2"
"1","shallow_van",9304098.02,55,100,47.5,49
"2","shallow_col",62361952.46,55,100,43,47.5
"3","shallow_eur",19314181.44,55,100,40.5,43
"4","shallow_mon",46195094.12,55,100,36,40.5
"5","shallow_con",8823304.23,55,100,34.5,36
"6","mid_van",25993024.35,100,183,47.5,49
"7","mid_col",93454858.55,100,183,43,47.5
"8","mid_eur",19995778.82,100,183,40.5,43
"9","mid_mon",45572852.66,100,183,36,40.5
"10","mid_con",6287310.11,100,183,34.5,36
"11","deep_van_col_eur",120397695.51,183,549,40.5,49
"12","deep_mon",34714544.55,183,549,36,40.5
"13","deep_con",134354605.1,183,549,32,36
