"","name","area","Depth_m.1","Depth_m.2","Latitude_dd.1","Latitude_dd.2"
"1","shallow_van",16981033.63,55,100,47,49
"2","shallow_col",54685016.85,55,100,43,47
"3","shallow_eur",19314181.44,55,100,40.5,43
"4","shallow_mon",17732686.45,55,100,38,40.5
"5","shallow_con",37285711.9,55,100,34.5,38
"6","mid_van",33806563.2,100,183,47,49
"7","mid_col",85641319.7,100,183,43,47
"8","mid_eur",19995778.82,100,183,40.5,43
"9","mid_mon",30012470.7,100,183,38,40.5
"10","mid_con",21847692.07,100,183,34.5,38
"11","deep_van_col_eur",120397695.51,183,549,40.5,49
"12","deep_mon",20386339.38,183,549,38,40.5
"13","deep_con",49130195.75,183,549,34.5,38
